Title,Year,Movie Duration,Rating,Poster,Plot Summary,Genres,Directors,Writers,Actors,Languages,Release Date,Release Country,Box Office,Production Companies
87. Mulan,1998,1h 27m,7.7,https://www.imdb.com/title/tt0120762/?ref_=sr_i_87,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.",,,,,,,,,
88. Primal Fear,1996,2h 9m,7.7,https://www.imdb.com/title/tt0117381/?ref_=sr_i_88,"The murder of a high and mighty archbishop leads to the involvement of Martin Vail, Chicago's best attorney. As he studies the suspects, he becomes convinced of certain aspects, but there's more to the story than meets the eye.",,,,,,,,,
89. Lost in Translation,2003,1h 42m,7.7,https://www.imdb.com/title/tt0335266/?ref_=sr_i_89,A fading movie star falls for a lonely young woman in Tokyo.,,,,,,,,,
90. The Holy Mountain,1973,1h 54m,7.7,https://www.imdb.com/title/tt0071615/?ref_=sr_i_90,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment.",,,,,,,,,
91. Taken,2008,1h 30m,7.7,https://www.imdb.com/title/tt0936501/?ref_=sr_i_91,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",,,,,,,,,
92. Crash,2004,1h 52m,7.7,https://www.imdb.com/title/tt0375679/?ref_=sr_i_92,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.",,,,,,,,,
93. Brokeback Mountain,2005,2h 14m,7.7,https://www.imdb.com/title/tt0388795/?ref_=sr_i_93,"Two shepherds fall for each other, but their relationship becomes complicated when they both get married to their respective girlfriends.",,,,,,,,,
94. Argo,2012,2h,7.7,https://www.imdb.com/title/tt1024648/?ref_=sr_i_94,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.",,,,,,,,,
95. The Worst Person in the World,2021,2h 8m,7.7,https://www.imdb.com/title/tt10370710/?ref_=sr_i_95,"The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is.",,,,,,,,,
96. X-Men: First Class,2011,2h 11m,7.7,https://www.imdb.com/title/tt1270798/?ref_=sr_i_96,"In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them.",,,,,,,,,
"97. O Brother, Where Art Thou?",2000,1h 47m,7.7,https://www.imdb.com/title/tt0190590/?ref_=sr_i_97,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",,,,,,,,,
98. First Blood,1982,1h 33m,7.7,https://www.imdb.com/title/tt0083944/?ref_=sr_i_98,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.,,,,,,,,,
99. Man on Fire,2004,2h 26m,7.7,https://www.imdb.com/title/tt0328107/?ref_=sr_i_99,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.",,,,,,,,,
100. Sense and Sensibility,1995,2h 16m,7.7,https://www.imdb.com/title/tt0114388/?ref_=sr_i_100,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The older two daughters are the title opposites.",,,,,,,,,
